# Time;running vehicles [#]
0;1
1;3
2;4
3;5
4;5
5;5
6;7
7;7
8;7
9;7
10;7
11;7
12;7
13;7
14;8
15;9
16;10
17;10
18;10
19;10
20;11
21;13
22;13
23;13
24;13
25;14
26;14
27;14
28;14
29;14
30;14
31;15
32;16
33;16
34;16
35;17
36;18
37;19
38;19
39;19
40;21
41;21
42;21
43;22
44;22
45;23
46;23
47;24
48;24
49;24
50;24
51;24
52;25
53;25
54;25
55;26
56;26
57;27
58;27
59;27
60;27
61;28
62;28
63;28
64;28
65;30
66;32
67;33
68;33
69;33
70;33
71;33
72;34
73;35
74;35
75;35
76;35
77;36
78;37
79;38
80;39
81;39
82;40
83;40
84;41
85;41
86;41
87;41
88;41
89;41
90;42
91;43
92;44
93;44
94;45
95;45
96;46
97;46
98;47
99;49
100;49
101;50
102;50
103;50
104;50
105;50
106;50
107;50
108;50
109;50
110;51
111;52
112;53
113;53
114;53
115;53
116;53
117;53
118;53
119;53
120;54
121;56
122;56
123;56
124;56
125;55
126;55
127;55
128;55
129;55
130;56
131;56
132;56
133;56
134;56
135;57
136;58
137;58
138;59
139;59
140;59
141;59
142;59
143;59
144;59
145;59
146;59
147;59
148;59
149;59
150;59
151;60
152;61
153;61
154;62
155;63
156;64
157;64
158;66
159;67
160;68
161;69
162;70
163;71
164;71
165;72
166;72
167;74
168;75
169;75
170;76
171;77
172;78
173;78
174;79
175;79
176;80
177;80
178;80
179;80
180;81
181;81
182;83
183;83
184;84
185;85
186;85
187;86
188;87
189;87
190;87
191;86
192;86
193;85
194;86
195;86
196;86
197;87
198;87
199;87
200;88
201;88
202;87
203;86
204;86
205;86
206;86
207;87
208;88
209;88
210;88
211;88
212;87
213;87
214;87
215;88
216;88
217;89
218;90
219;90
220;91
221;91
222;92
223;92
224;92
225;93
226;94
227;94
228;95
229;94
230;93
231;93
232;93
233;93
234;93
235;94
236;94
237;94
238;94
239;93
240;93
241;94
242;95
243;96
244;98
245;99
246;98
247;98
248;98
249;98
250;98
251;99
252;99
253;99
254;99
255;99
256;99
257;100
258;101
259;101
260;101
261;102
262;101
263;101
264;101
265;102
266;102
267;102
268;101
269;101
270;101
271;101
272;102
273;102
274;103
275;103
276;104
277;104
278;103
279;103
280;103
281;104
282;103
283;103
284;103
285;103
286;104
287;103
288;102
289;101
290;101
291;101
292;102
293;102
294;103
295;103
296;103
297;102
298;103
299;103
300;103
301;103
302;102
303;102
304;104
305;105
306;106
307;107
308;107
309;107
310;107
311;107
312;107
313;108
314;110
315;111
316;111
317;111
318;112
319;112
320;112
321;112
322;111
323;111
324;111
325;111
326;113
327;113
328;113
329;114
330;113
331;113
332;113
333;113
334;113
335;114
336;113
337;113
338;114
339;115
340;115
341;115
342;114
343;116
344;117
345;118
346;118
347;119
348;119
349;120
350;121
351;121
352;121
353;120
354;121
355;120
356;121
357;121
358;122
359;122
360;122
361;122
362;122
363;123
364;123
365;123
366;123
367;124
368;123
369;123
370;124
371;125
372;124
373;124
374;124
375;124
376;124
377;123
378;122
379;122
380;122
381;122
382;122
383;122
384;121
385;121
386;120
387;120
388;120
389;120
390;119
391;120
392;120
393;120
394;120
395;120
396;121
397;121
398;122
399;122
400;121
401;122
402;121
403;122
404;122
405;124
406;125
407;125
408;125
409;127
410;127
411;127
412;127
413;127
414;127
415;128
416;128
417;129
418;130
419;131
420;131
421;132
422;132
423;132
424;131
425;131
426;131
427;133
428;133
429;133
430;133
431;134
432;134
433;136
434;136
435;136
436;137
437;140
438;141
439;142
440;141
441;141
442;141
443;142
444;143
445;142
446;144
447;144
448;145
449;145
450;145
451;146
452;146
453;146
454;146
455;147
456;149
457;149
458;149
459;150
460;151
461;152
462;153
463;154
464;153
465;153
466;153
467;153
468;153
469;153
470;153
471;152
472;153
473;154
474;155
475;156
476;156
477;156
478;156
479;156
480;156
481;157
482;157
483;158
484;158
485;159
486;159
487;158
488;158
489;158
490;159
491;160
492;160
493;160
494;159
495;159
496;159
497;159
498;160
499;159
500;160
501;160
502;160
503;160
504;161
505;162
506;161
507;162
508;162
509;161
510;159
511;159
512;159
513;159
514;159
515;159
516;159
517;159
518;160
519;160
520;160
521;160
522;159
523;159
524;161
525;160
526;160
527;160
528;160
529;160
530;162
531;163
532;163
533;163
534;164
535;165
536;166
537;167
538;167
539;167
540;168
541;168
542;169
543;168
544;170
545;169
546;169
547;168
548;168
549;169
550;169
551;172
552;171
553;172
554;171
555;171
556;172
557;171
558;171
559;172
560;172
561;173
562;173
563;172
564;172
565;172
566;170
567;171
568;170
569;170
570;170
571;171
572;169
573;169
574;169
575;169
576;169
577;169
578;169
579;170
580;171
581;171
582;173
583;172
584;172
585;172
586;172
587;172
588;172
589;174
590;174
591;173
592;173
593;172
594;172
595;172
596;172
597;172
598;172
599;172
600;172
601;170
602;169
603;169
604;169
605;169
606;169
607;169
608;168
609;168
610;168
611;168
612;167
613;167
614;166
615;166
616;166
617;166
618;166
619;165
620;165
621;164
622;163
623;163
624;163
625;162
626;162
627;162
628;162
629;162
630;162
631;162
632;162
633;160
634;160
635;160
636;160
637;159
638;159
639;159
640;159
641;159
642;159
643;159
644;159
645;159
646;159
647;159
648;159
649;159
650;159
651;159
652;159
653;159
654;159
655;158
656;157
657;156
658;156
659;156
660;155
661;154
662;152
663;151
664;151
665;150
666;150
667;149
668;149
669;149
670;148
671;148
672;148
673;147
674;147
675;147
676;147
677;147
678;147
679;147
680;146
681;145
682;145
683;145
684;145
685;145
686;145
687;145
688;145
689;145
690;145
691;144
692;143
693;143
694;143
695;143
696;143
697;141
698;140
699;140
700;139
701;139
702;139
703;139
704;139
705;139
706;139
707;139
708;138
709;138
710;138
711;138
712;137
713;136
714;136
715;136
716;136
717;135
718;135
719;135
720;135
721;135
722;134
723;134
724;134
725;134
726;133
727;133
728;132
729;131
730;131
731;131
732;131
733;131
734;130
735;130
736;130
737;129
738;129
739;128
740;127
741;125
742;125
743;125
744;124
745;124
746;123
747;122
748;122
749;122
750;121
751;120
752;120
753;119
754;119
755;119
756;119
757;118
758;118
759;118
760;118
761;118
762;118
763;117
764;117
765;117
766;117
767;117
768;117
769;117
770;117
771;116
772;116
773;116
774;115
775;115
776;115
777;115
778;115
779;114
780;113
781;113
782;112
783;112
784;111
785;111
786;111
787;110
788;110
789;110
790;110
791;110
792;110
793;109
794;109
795;109
796;108
797;108
798;108
799;108
800;108
801;108
802;108
803;108
804;108
805;107
806;107
807;106
808;106
809;106
810;106
811;106
812;105
813;105
814;103
815;103
816;103
817;103
818;103
819;103
820;103
821;103
822;103
823;103
824;103
825;103
826;102
827;102
828;102
829;102
830;102
831;102
832;102
833;102
834;102
835;102
836;102
837;102
838;102
839;102
840;102
841;102
842;102
843;101
844;101
845;101
846;101
847;101
848;101
849;100
850;100
851;100
852;99
853;98
854;98
855;97
856;97
857;96
858;96
859;96
860;96
861;96
862;95
863;95
864;93
865;93
866;92
867;91
868;91
869;91
870;91
871;91
872;91
873;90
874;90
875;90
876;90
877;89
878;89
879;89
880;89
881;89
882;88
883;88
884;88
885;88
886;88
887;88
888;88
889;88
890;88
891;88
892;88
893;88
894;88
895;88
896;87
897;86
898;86
899;85
900;85
901;85
902;85
903;85
904;85
905;83
906;82
907;82
908;80
909;80
910;80
911;80
912;80
913;80
914;80
915;80
916;80
917;79
918;79
919;79
920;79
921;79
922;79
923;79
924;79
925;79
926;79
927;79
928;79
929;79
930;79
931;79
932;78
933;78
934;78
935;77
936;77
937;76
938;76
939;76
940;76
941;76
942;76
943;76
944;76
945;76
946;76
947;76
948;75
949;75
950;75
951;75
952;75
953;75
954;75
955;75
956;75
957;75
958;75
959;75
960;75
961;75
962;74
963;74
964;74
965;74
966;74
967;74
968;74
969;74
970;73
971;72
972;72
973;72
974;72
975;72
976;72
977;71
978;71
979;70
980;70
981;70
982;70
983;70
984;69
985;69
986;69
987;69
988;69
989;69
990;69
991;69
992;69
993;69
994;69
995;69
996;69
997;68
998;68
999;68
1000;68
1001;73
1002;74
1003;74
1004;74
1005;76
1006;76
1007;75
1008;75
1009;75
1010;76
1011;77
1012;78
1013;79
1014;80
1015;79
1016;80
1017;82
1018;82
1019;82
1020;86
1021;86
1022;86
1023;87
1024;89
1025;91
1026;91
1027;92
1028;94
1029;95
1030;95
1031;96
1032;98
1033;99
1034;100
1035;101
1036;101
1037;101
1038;101
1039;102
1040;102
1041;102
1042;104
1043;105
1044;105
1045;106
1046;107
1047;106
1048;106
1049;105
1050;105
1051;106
1052;108
1053;109
1054;112
1055;114
1056;114
1057;114
1058;114
1059;113
1060;116
1061;117
1062;117
1063;117
1064;118
1065;120
1066;121
1067;121
1068;123
1069;124
1070;124
1071;123
1072;122
1073;122
1074;122
1075;123
1076;125
1077;126
1078;126
1079;127
1080;127
1081;129
1082;131
1083;131
1084;131
1085;129
1086;130
1087;130
1088;133
1089;134
1090;134
1091;134
1092;135
1093;137
1094;137
1095;137
1096;137
1097;137
1098;137
1099;137
1100;138
1101;141
1102;142
1103;143
1104;143
1105;143
1106;144
1107;145
1108;144
1109;145
1110;145
1111;146
1112;146
1113;147
1114;148
1115;148
1116;151
1117;151
1118;153
1119;153
1120;153
1121;153
1122;153
1123;153
1124;152
1125;152
1126;153
1127;154
1128;155
1129;155
1130;155
1131;155
1132;156
1133;157
1134;158
1135;159
1136;159
1137;162
1138;164
1139;164
1140;164
1141;164
1142;164
1143;166
1144;168
1145;169
1146;169
1147;170
1148;172
1149;172
1150;172
1151;173
1152;173
1153;173
1154;173
1155;175
1156;176
1157;178
1158;178
1159;179
1160;179
1161;180
1162;180
1163;180
1164;180
1165;180
1166;181
1167;180
1168;179
1169;180
1170;181
1171;181
1172;182
1173;183
1174;182
1175;182
1176;181
1177;182
1178;183
1179;185
1180;183
1181;182
1182;182
1183;182
1184;182
1185;185
1186;187
1187;188
1188;190
1189;193
1190;193
1191;193
1192;194
1193;194
1194;194
1195;194
1196;195
1197;193
1198;193
1199;193
1200;194
1201;193
1202;193
1203;193
1204;191
1205;191
1206;193
1207;194
1208;195
1209;196
1210;197
1211;197
1212;199
1213;200
1214;203
1215;203
1216;201
1217;201
1218;201
1219;201
1220;201
1221;202
1222;202
1223;203
1224;203
1225;203
1226;203
1227;204
1228;203
1229;203
1230;203
1231;203
1232;203
1233;204
1234;204
1235;203
1236;204
1237;204
1238;204
1239;203
1240;203
1241;203
1242;203
1243;205
1244;206
1245;206
1246;207
1247;208
1248;208
1249;207
1250;208
1251;209
1252;211
1253;211
1254;211
1255;212
